AGE,SEX,MARITAL_STATUS,OCCUPATION_TYPE,MONTHS_IN_RESIDENCE,FLAG_RESIDENCIAL_PHONE,STATE_OF_BIRTH,RESIDENCIAL_STATE,RESIDENCE_TYPE,RESIDENCIAL_CITY,RESIDENCIAL_BOROUGH,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCIAL_ZIP_3,PROFESSIONAL_STATE,PROFESSIONAL_ZIP_3,PRODUCT,RISK_LABEL
70,F,7,5,32,Y,MG,RJ,3,Salvador,Bairro-97,21,536,RS,281,2,Medium
48,F,5,3,23,Y,RJ,BA,3,Belo Horizonte,Bairro-1,51,275,SP,160,1,High
45,M,1,3,69,N,SP,SP,4,Recife,Bairro-14,71,794,MG,656,1,Medium
21,M,6,3,65,N,RS,RJ,2,Salvador,Bairro-18,11,430,RJ,258,2,Low
60,M,4,5,83,Y,PE,BA,1,São Paulo,Bairro-34,21,492,RS,508,1,Medium
47,M,4,2,106,Y,RJ,PE,2,Porto Alegre,Bairro-30,81,783,RS,952,2,Medium
63,F,1,2,173,Y,SP,SP,1,Porto Alegre,Bairro-5,21,119,BA,297,2,Low
22,F,7,3,58,Y,MG,RJ,3,Belo Horizonte,Bairro-46,81,451,RJ,646,1,Medium
61,M,4,1,171,Y,RJ,RS,1,São Paulo,Bairro-11,31,495,RJ,189,2,Medium
36,F,2,2,180,N,RS,RS,1,São Paulo,Bairro-81,21,721,SP,645,2,Low
49,F,5,2,159,Y,SP,MG,5,Salvador,Bairro-13,71,897,RS,132,2,Medium
73,F,4,5,56,Y,SP,PE,4,Rio de Janeiro,Bairro-6,81,930,SP,817,7,Medium
27,F,4,4,92,Y,BA,BA,1,Porto Alegre,Bairro-4,81,966,BA,405,7,High
22,M,4,5,150,N,PE,PE,4,Porto Alegre,Bairro-21,11,490,MG,326,1,Medium
67,F,6,2,171,Y,BA,RJ,2,Salvador,Bairro-92,71,558,SP,606,2,Medium
74,M,7,4,208,Y,MG,BA,4,São Paulo,Bairro-72,11,859,PE,769,1,High
30,F,6,2,132,N,MG,BA,5,Belo Horizonte,Bairro-79,11,965,BA,849,1,Medium
19,F,1,5,118,Y,SP,SP,2,Salvador,Bairro-25,11,344,MG,728,1,Medium
55,M,2,4,18,N,RJ,BA,1,Belo Horizonte,Bairro-24,71,571,SP,755,2,Medium
30,M,1,1,10,Y,BA,PE,1,Porto Alegre,Bairro-39,81,663,MG,629,7,High
44,M,5,2,188,N,RJ,BA,1,Recife,Bairro-2,71,775,BA,946,7,Low
67,F,5,2,205,N,BA,RJ,2,Recife,Bairro-34,31,758,SP,719,2,Low
80,M,2,2,90,Y,RS,RS,5,Porto Alegre,Bairro-59,51,132,PE,139,1,Medium
77,M,7,5,126,N,BA,MG,3,Porto Alegre,Bairro-91,71,189,RJ,159,1,Low
25,M,2,1,31,Y,RJ,MG,5,Belo Horizonte,Bairro-5,71,292,RJ,365,2,Medium
28,M,7,3,143,N,PE,RS,2,Porto Alegre,Bairro-20,81,551,RJ,517,7,Medium
68,F,2,1,21,N,BA,MG,1,São Paulo,Bairro-72,71,765,BA,905,1,High
29,F,2,1,49,Y,SP,BA,5,Belo Horizonte,Bairro-32,71,415,SP,108,1,Medium
71,F,7,4,211,N,BA,RJ,2,Porto Alegre,Bairro-70,21,250,BA,459,1,High
57,F,3,5,182,Y,RJ,RJ,5,Porto Alegre,Bairro-38,51,430,RJ,620,7,Medium
26,M,2,1,105,Y,BA,RJ,3,São Paulo,Bairro-25,71,409,SP,519,1,Medium
53,M,4,2,145,N,PE,MG,5,São Paulo,Bairro-2,21,874,BA,458,7,Medium
37,F,1,3,196,Y,MG,SP,3,Belo Horizonte,Bairro-73,31,289,SP,439,7,Low
34,M,5,3,126,N,RJ,BA,2,Porto Alegre,Bairro-63,11,659,SP,646,2,Medium
67,M,7,2,163,N,RJ,BA,4,Recife,Bairro-37,71,438,MG,200,2,Low
72,M,5,1,105,Y,SP,RS,2,São Paulo,Bairro-25,51,548,SP,190,2,High
66,F,4,3,133,Y,PE,MG,5,Belo Horizonte,Bairro-73,81,831,SP,557,1,Low
37,M,4,2,206,N,SP,MG,2,São Paulo,Bairro-36,11,155,BA,636,2,Low
55,F,4,4,128,N,MG,MG,3,Rio de Janeiro,Bairro-2,71,828,SP,505,7,Low
40,M,2,1,221,Y,SP,RS,2,Porto Alegre,Bairro-59,31,329,SP,468,2,High
79,M,1,4,139,N,MG,MG,2,Recife,Bairro-77,71,979,RJ,451,7,Medium
67,F,7,3,207,N,SP,RS,2,Recife,Bairro-72,21,285,PE,227,1,High
34,M,5,3,2,Y,RS,BA,5,Belo Horizonte,Bairro-69,21,107,RJ,395,7,Low
